ticker,name
1101,台泥
1102,亞泥
1216,統一
1301,台塑
1303,南亞
1326,台化
1402,遠東新
1476,儒鴻
2002,中鋼
2105,正新
2207,和泰車
2301,光寶科
2303,聯電
2308,台達電
2311,日月光
2317,鴻海
2324,仁寶
2325,矽品
2330,台積電
2354,鴻準
2357,華碩
2382,廣達
2395,研華
2408,南亞科
2409,友達
2412,中華電
2474,可成
2801,彰銀
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2890,永豐金
2891,中信金
2892,第一金
2912,統一超
3008,大立光
3045,台灣大
3474,華亞科
3481,群創
4904,遠傳
4938,和碩
5880,合庫金
6505,台塑化
9904,寶成
1227,佳格
1262,綠悅-KY
1319,東陽
1440,南紡
1477,聚陽
1504,東元
1536,和大
1589,永冠-KY
1590,亞德客-KY
1605,華新
1704,榮化
1707,葡萄王
1717,長興
1722,台肥
1723,中碳
1789,神隆
1802,台玻
2015,豐興
2049,上銀
2059,川湖
2101,南港
2103,台橡
2106,建大
2201,裕隆
2204,中華
2206,三陽工業
2231,為升
2313,華通
2327,國巨
2345,智邦
2347,聯強
2352,佳世達
2353,宏碁
2355,敬鵬
2356,英業達
2360,致茂
2362,藍天
2376,技嘉
2377,微星
2379,瑞昱
2383,台光電
2385,群光
2392,正崴
2448,晶電
2449,京元電子
2451,創見
2498,宏達電
2501,國建
2542,興富發
2603,長榮
2609,陽明
2610,華航
2615,萬海
2618,長榮航
2707,晶華
2809,京城銀
2812,台中銀
2823,中壽
2834,臺企銀
2845,遠東銀
2849,安泰銀
2867,三商壽
2888,新光金
2903,遠百
2915,潤泰全
3034,聯詠
3037,欣興
3044,健鼎
3189,景碩
3231,緯創
3673,TPK-KY
3682,亞太電
3702,大聯大
4958,臻鼎-KY
5264,鎧勝-KY
5522,遠雄
5871,中租-KY
6176,瑞儀
6239,力成
6269,台郡
6285,啟碁
6414,樺漢
6415,矽力-KY
6452,康友-KY
6456,GIS-KY
8150,南茂
8454,富邦媒
8464,億豐
9907,統一實
9910,豐泰
9914,美利達
9917,中保
9921,巨大
9933,中鼎
9938,百和
9945,潤泰新
