Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,13.950000,14.100000,13.800000,14.100000,13.425251,75417890
2020-04-07,14.250000,14.300000,13.950000,14.150000,13.472857,66031028
2020-04-08,14.150000,14.300000,14.100000,14.200000,13.520465,59324325
2020-04-09,14.300000,14.400000,14.100000,14.200000,13.520465,40473210
2020-04-10,14.250000,14.300000,14.150000,14.300000,13.615681,23315732
2020-04-13,14.450000,15.100000,14.400000,14.800000,14.091753,94375364
2020-04-14,15.050000,15.150000,14.850000,15.150000,14.425003,70873919
2020-04-15,15.150000,15.200000,14.900000,15.100000,14.377397,76800916
2020-04-16,14.850000,15.100000,14.800000,14.900000,14.186967,53398536
2020-04-17,15.200000,15.450000,15.000000,15.050000,14.329789,102841345
2020-04-20,15.100000,15.200000,14.950000,15.150000,14.425003,46983290
2020-04-21,15.100000,15.350000,14.800000,14.800000,14.091753,74235734
2020-04-22,14.800000,15.200000,14.750000,15.200000,14.472610,51801119
2020-04-23,15.450000,16.000000,15.400000,15.800000,15.043899,157791012
2020-04-24,15.900000,16.100000,15.850000,15.900000,15.139112,104062670
2020-04-27,16.150000,16.299999,15.900000,16.150000,15.377149,121440284
2020-04-28,15.500000,15.600000,14.750000,15.000000,14.282182,219150807
2020-04-29,15.200000,15.500000,15.200000,15.300000,14.567825,96798319
2020-04-30,15.450000,15.600000,15.350000,15.550000,14.805862,64768656
2020-05-04,15.100000,15.450000,15.050000,15.350000,14.615433,47975074
2020-05-05,15.500000,15.550000,15.250000,15.250000,14.520218,34096450
2020-05-06,15.250000,15.450000,15.250000,15.300000,14.567825,34763487
2020-05-07,15.450000,15.850000,15.300000,15.600000,14.853470,58025473
2020-05-08,15.850000,15.850000,15.500000,15.650000,14.901076,39736136
2020-05-11,15.800000,15.850000,15.600000,15.600000,14.853470,42257477
2020-05-12,15.500000,15.650000,15.350000,15.450000,14.710648,40406407
2020-05-13,15.400000,15.600000,15.350000,15.600000,14.853470,30545962
2020-05-14,15.450000,15.550000,15.200000,15.350000,14.615433,31677085
2020-05-15,15.450000,15.500000,15.150000,15.400000,14.663039,32116870
2020-05-18,15.400000,15.400000,15.100000,15.100000,14.377397,41754666
2020-05-19,15.300000,15.300000,14.900000,14.950000,14.234574,54397126
2020-05-20,15.150000,15.150000,14.850000,14.850000,14.139360,59202595
2020-05-21,15.000000,15.300000,14.950000,15.300000,14.567825,39817856
2020-05-22,15.150000,15.200000,15.050000,15.100000,14.377397,33556829
2020-05-25,15.100000,15.100000,14.850000,15.100000,14.377397,19221772
2020-05-26,15.150000,15.250000,15.100000,15.200000,14.472610,23880256
2020-05-27,15.250000,15.300000,15.100000,15.100000,14.377397,24006301
2020-05-28,15.200000,15.400000,15.150000,15.350000,14.615433,45046009
2020-05-29,15.300000,15.450000,15.200000,15.450000,14.710648,49643911
2020-06-01,15.600000,15.800000,15.500000,15.650000,14.901076,45030896
2020-06-02,15.750000,15.850000,15.700000,15.850000,15.091506,46869809
2020-06-03,16.000000,16.200001,15.950000,16.200001,15.424757,64858876
2020-06-04,16.500000,16.600000,16.100000,16.299999,15.519970,94715239
2020-06-05,16.299999,16.500000,16.200001,16.500000,15.710400,49132614
2020-06-08,17.500000,17.500000,16.850000,17.049999,16.234079,124131598
2020-06-09,17.049999,17.150000,16.549999,16.850000,16.043652,82141619
2020-06-10,16.850000,16.850000,16.400000,16.600000,15.805615,94791794
2020-06-11,16.450001,16.500000,15.900000,16.049999,15.281934,92770897
2020-06-12,15.450000,15.800000,15.400000,15.700000,14.948684,86040818
2020-06-15,15.450000,15.500000,15.300000,15.400000,14.663039,81647335
2020-06-16,15.500000,15.700000,15.400000,15.500000,14.758255,63149426
2020-06-17,15.500000,15.550000,15.150000,15.300000,14.567825,71145221
2020-06-18,15.300000,15.450000,15.250000,15.350000,14.615433,56787627
2020-06-19,15.400000,15.600000,15.400000,15.400000,14.663039,57562916
2020-06-22,15.450000,15.700000,15.350000,15.700000,14.948684,40713689
2020-06-23,15.750000,15.750000,15.450000,15.450000,14.710648,57029420
2020-06-24,15.500000,15.950000,15.500000,15.750000,14.996291,58563616
2020-06-29,15.550000,15.800000,15.500000,15.550000,14.805862,40174467
2020-06-30,15.700000,15.900000,15.650000,15.900000,15.139112,44717594
2020-07-01,16.000000,16.200001,15.950000,16.100000,15.329542,41759557
2020-07-02,16.200001,16.350000,16.000000,16.350000,15.567578,52315397
2020-07-03,16.450001,16.500000,16.350000,16.450001,15.662793,51767884
2020-07-06,16.600000,16.700001,16.450001,16.650000,15.853222,55080070
2020-07-07,16.900000,17.000000,16.500000,16.600000,15.805615,80993675
2020-07-08,16.600000,16.799999,16.600000,16.650000,15.853222,34987230
2020-07-09,16.650000,16.750000,16.450001,16.450001,15.662793,40060369
2020-07-10,16.500000,16.650000,16.400000,16.450001,15.662793,41687415
2020-07-13,16.700001,17.049999,16.650000,17.049999,16.234079,106711949
2020-07-14,17.100000,17.100000,16.700001,16.799999,15.996043,89089297
2020-07-15,16.450001,16.500000,16.000000,16.000000,16.000000,93486316
2020-07-16,16.250000,16.799999,16.250000,16.600000,16.600000,139039785
2020-07-17,16.750000,16.799999,16.150000,16.400000,16.400000,70857217
2020-07-20,16.549999,16.750000,16.299999,16.549999,16.549999,106825263
2020-07-21,16.750000,17.500000,16.700001,17.150000,17.150000,210085722
2020-07-22,17.250000,17.500000,17.049999,17.500000,17.500000,116464421
2020-07-23,18.500000,19.250000,18.350000,19.250000,19.250000,401688025
2020-07-24,19.799999,20.299999,19.500000,19.750000,19.750000,546884955
2020-07-27,20.500000,21.700001,20.049999,21.700001,21.700001,488746075
2020-07-28,23.850000,23.850000,21.799999,22.250000,22.250000,599722773
2020-07-29,22.200001,22.650000,21.350000,22.400000,22.400000,307114701
2020-07-30,22.600000,22.750000,21.750000,22.200001,22.200001,249008246
2020-07-31,21.900000,22.500000,21.700001,22.350000,22.350000,137076620
2020-08-03,22.500000,24.400000,22.400000,23.799999,23.799999,366890778
2020-08-04,25.200001,25.799999,24.299999,24.549999,24.549999,316797374
