ticker,name
A200,Betashares Australia 200 ETF
A2M,The a2 Milk Company Ltd
AAA,Betashares Australian High Interest Cash ETF
ABC,Adbri Ltd
ABP,Abacus Property Group
AFI,Australian Foundation Investment Company Ltd
AGL,AGL Energy Ltd
AIA,Auckland International Airport Ltd
AIZ,Air New Zealand Ltd
ALD,Ampol Ltd
ALL,Aristocrat Leisure Ltd
ALQ,Als Ltd
ALU,Altium Ltd
ALX,Atlas Arteria
AMC,Amcor Plc
AMP,AMP Ltd
ANN,Ansell Ltd  
ANZ,Australia and New Zealand Banking Group Ltd
APA,APA Group
APE,Eagers Automotive Ltd
APT,Afterpay Ltd
APX,Appen Ltd
ARB,ARB Corporation Ltd
ARF,Arena REIT
ARG,Argo Investments Ltd
AST,Ausnet Services Ltd
ASX,ASX Ltd
AUB,AUB Group Ltd
AUI,Australian United Investment Company Ltd
AVN,Aventus Group
AWC,Alumina Ltd
AX1,Accent Group Ltd
AZJ,Aurizon Holdings Ltd
BAP,Bapcor Ltd
BEN,Bendigo and Adelaide Bank Ltd
BET,Betmakers Technology Group Ltd
BGA,Bega Cheese Ltd
BHP,BHP Group Ltd
BIN,Bingo Industries Ltd
BKI,BKI Investment Company Ltd
BKL,Blackmores Ltd
BKW,Brickworks Ltd
BLD,Boral Ltd
BOQ,Bank of Queensland Ltd
BPT,Beach Energy Ltd
BRG,Breville Group Ltd
BRN,Brainchip Holdings Ltd  
BSL,Bluescope Steel Ltd
BWP,BWP Trust
BXB,Brambles Ltd
CAR,Carsales.com Ltd
CBA,Commonwealth Bank of Australia
CCL,Coca-Cola Amatil LtdSuspended
CCP,Credit Corp Group Ltd
CCX,City Chic Collective Ltd
CDA,Codan Ltd
CEN,Contact Energy Ltd
CGC,Costa Group Holdings Ltd
CGF,Challenger Ltd
CHC,Charter Hall Group
CHN,Chalice Mining Ltd
CIA,Champion Iron Ltd
CIM,Cimic Group Ltd
CIP,Centuria Industrial REIT
CKF,Collins Foods Ltd
CLW,Charter Hall Long Wale REIT
CMW,Cromwell Property Group
CNI,Centuria Capital Group
CNU,Chorus Ltd
COF,Centuria Office REIT
COH,Cochlear Ltd
COL,Coles Group Ltd  
CPU,Computershare Ltd
CQE,Charter Hall Social Infrastructure REIT
CQR,Charter Hall Retail REIT
CRN,Coronado Global Resources Inc
CSL,CSL Ltd
CSR,CSR Ltd
CTD,Corporate Travel Management Ltd
CUV,Clinuvel Pharmaceuticals Ltd
CWN,Crown Resorts Ltd
CWY,Cleanaway Waste Management Ltd
DBI,Dalrymple Bay Infrastructure Ltd
DDR,Dicker Data Ltd
DEG,De Grey Mining Ltd
DHG,Domain Holdings Australia Ltd
DMP,Domino's PIZZA Enterprises Ltd
DOW,Downer Edi Ltd
DRR,Deterra Royalties Ltd
DTL,Data#3 Ltd
DUI,Diversified United Investment Ltd
DXS,Dexus
EBO,Ebos Group Ltd
ELD,Elders Ltd
EML,EML Payments Ltd
ETHI,Betashares Global Sustainability Leaders ETF
EVN,Evolution Mining Ltd
EVT,Event Hospitality and Entertainment Ltd
FAIR,Betashares Australian Sustainability Leaders ETF
FBU,Fletcher Building Ltd
FCL,Fineos Corporation Holdings Plc
FLT,Flight Centre Travel Group Ltd
FMG,Fortescue Metals Group Ltd
FPH,Fisher & Paykel Healthcare Corporation Ltd
GMA,Genworth Mortgage Insurance Australia Ltd
GMG,Goodman Group
GNC,Graincorp Ltd
GNE,Genesis Energy Ltd
GOLD,ETFs Metal Securities Australia Ltd
GOR,Gold Road Resources Ltd
GOZ,Growthpoint Properties Australia
GPT,GPT Group
GUD,G.U.D. Holdings Ltd
GXY,Galaxy Resources Ltd
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund)
HGH,Heartland Group Holdings Ltd
HLS,Healius Ltd
HM1,Hearts and Minds Investments Ltd
HMC,Home Consortium
HSN,Hansen Technologies Ltd
HTA,Hutchison Telecommunications (Australia) Ltd
HUB,HUB24 Ltd
HVN,Harvey Norman Holdings Ltd
HYGG,Hyperion GBL Growth Companies Fund (Managed Fund)
